SNR (dB)   | 样本数量 (N)        | 准确率 (Accuracy) 
---------------------------------------------
-20.0      | 19660           | 4.22%
-18.0      | 19661           | 4.45%
-16.0      | 19661           | 4.98%
-14.0      | 19661           | 6.12%
-12.0      | 19661           | 8.65%
-10.0      | 19661           | 13.00%
-8.0       | 19661           | 18.01%
-6.0       | 19661           | 25.54%
-4.0       | 19660           | 35.18%
-2.0       | 19661           | 46.09%
0.0        | 19661           | 56.29%
2.0        | 19660           | 69.16%
4.0        | 19661           | 81.47%
6.0        | 19661           | 90.85%
8.0        | 19661           | 94.96%
10.0       | 19661           | 96.12%
12.0       | 19660           | 96.46%
14.0       | 19661           | 96.70%
16.0       | 19661           | 96.72%
18.0       | 19661           | 96.95%
20.0       | 19661           | 96.84%
22.0       | 19661           | 96.82%
24.0       | 19661           | 96.71%
26.0       | 19661           | 96.73%
28.0       | 19660           | 96.89%
30.0       | 19661           | 96.73%
---------------------------------------------
