总体准确率 (Overall Accuracy): 54.46%

SNR (dB)   | 样本数量 (N)        | 准确率 (Accuracy) 
---------------------------------------------
-20.0      | 19660           | 4.34%
-18.0      | 19661           | 4.17%
-16.0      | 19661           | 4.11%
-14.0      | 19661           | 4.05%
-12.0      | 19661           | 4.51%
-10.0      | 19661           | 4.16%
-8.0       | 19661           | 3.95%
-6.0       | 19661           | 3.86%
-4.0       | 19660           | 4.58%
-2.0       | 19661           | 6.87%
0.0        | 19661           | 9.56%
2.0        | 19660           | 31.75%
4.0        | 19661           | 71.42%
6.0        | 19661           | 88.82%
8.0        | 19661           | 94.79%
10.0       | 19661           | 97.12%
12.0       | 19660           | 97.42%
14.0       | 19661           | 97.59%
16.0       | 19661           | 97.83%
18.0       | 19661           | 97.86%
20.0       | 19661           | 97.87%
22.0       | 19661           | 97.86%
24.0       | 19661           | 98.05%
26.0       | 19661           | 97.81%
28.0       | 19660           | 97.80%
30.0       | 19661           | 97.82%
---------------------------------------------
